날짜,"01
프린터앞","02
프린터위","03
부스내부","04
부스외부"
01-21 6:06,-6.2,2.7,-5.3,-8.1
01-21 6:07,-6.2,2.6,-5.3,-8.1
01-21 6:08,-6.2,2.7,-5.3,-8.1
01-21 6:09,-6.2,2.8,-5.3,-8
01-21 6:10,-6.2,2.7,-5.3,-8
01-21 6:11,-6.2,2.7,-5.3,-8
01-21 6:12,-6.2,2.6,-5.3,-8
01-21 6:13,-6.2,2.6,-5.3,-8
01-21 6:14,-6.2,2.6,-5.2,-8
01-21 6:15,-6.2,2.7,-5.2,-8
01-21 6:16,-6.2,2.7,-5.2,-8
01-21 6:17,-6.2,2.7,-5.2,-8
01-21 6:18,-6.2,2.7,-5.2,-8
01-21 6:19,-6.2,2.8,-5.2,-8.1
01-21 6:20,-6.2,2.8,-5.2,-8.1
01-21 6:21,-6.2,2.8,-5.2,-8.1
01-21 6:22,-6.2,2.9,-5.2,-8.1
01-21 6:23,-6.2,2.9,-5.2,-8.1
01-21 6:24,-6.2,2.9,-5.1,-8.1
01-21 6:25,-6.2,2.9,-5.1,-8.1
01-21 6:26,-6.2,2.9,-5.2,-8.1
01-21 6:27,-6.2,2.9,-5.2,-8.1
01-21 6:28,-6.2,2.9,-5.1,-8.1
01-21 6:29,-6.2,2.9,-5.1,-8.1
01-21 6:30,-6.2,2.9,-5.1,-8.1
01-21 6:31,-6.3,2.9,-5.1,-8.1
01-21 6:32,-6.2,2.9,-5.1,-8.1
01-21 6:33,-6.3,3,-5.1,-8
01-21 6:34,-6.3,2.9,-5.1,-8
01-21 6:35,-6.2,2.9,-5.1,-8
01-21 6:36,-6.3,2.8,-5.1,-8
01-21 6:37,-6.3,2.8,-5.1,-8
01-21 6:38,-6.3,2.8,-5.1,-8
01-21 6:39,-6.3,2.9,-5.1,-8
01-21 6:40,-6.3,2.9,-5.1,-8
01-21 6:41,-6.3,2.8,-5.1,-8
01-21 6:42,-6.3,2.8,-5.1,-8
01-21 6:43,-6.3,2.8,-5.1,-8
01-21 6:44,-6.3,2.9,-5.1,-8
01-21 6:45,-6.3,3,-5,-8
01-21 6:46,-6.3,3.1,-5,-8
01-21 6:47,-6.3,3.2,-5.1,-8
01-21 6:48,-6.3,3.3,-5,-8
01-21 6:49,-6.3,3.4,-5,-8
01-21 6:50,-6.3,3.4,-5,-8
01-21 6:51,-6.3,3.5,-5,-8
01-21 6:52,-6.2,3.6,-5,-8
01-21 6:53,-6.3,3.7,-5,-8
01-21 6:54,-6.3,3.8,-5,-8
01-21 6:55,-6.3,3.9,-5,-8
01-21 6:56,-6.3,4,-5,-8
01-21 6:57,-6.3,4,-5,-8
01-21 6:58,-6.3,4.1,-5,-8
01-21 6:59,-6.3,4,-5,-8
01-21 7:00,-6.3,4.1,-5,-7.9
01-21 7:01,-6.2,4.1,-5,-8
01-21 7:02,-6.2,4.2,-5,-8.1
01-21 7:03,-6.3,4.3,-4.9,-8.1
01-21 7:04,-6.3,4.3,-5,-8.1
01-21 7:05,-6.3,4.2,-4.9,-8.1
01-21 7:06,-6.3,4.2,-5,-8.1
01-21 7:07,-6.3,4.3,-5,-8.1
01-21 7:08,-6.3,4.4,-5,-8.1
01-21 7:09,-6.3,4.3,-4.9,-8.1
01-21 7:10,-6.3,4.2,-5,-8.1
01-21 7:11,-6.3,4.2,-5,-8.2
01-21 7:12,-6.3,4.2,-4.9,-8.3
01-21 7:13,-6.2,4.2,-5,-8.3
01-21 7:14,-6.3,4.3,-5,-8.3
01-21 7:15,-6.3,4.3,-5,-8.4
01-21 7:16,-6.2,4.2,-5,-8.4
01-21 7:17,-6.3,4.3,-5,-8.4
01-21 7:18,-6.3,4.2,-5,-8.5
01-21 7:19,-6.3,4.2,-5,-8.4
01-21 7:20,-6.3,4.2,-5,-8.4
01-21 7:21,-6.3,4.2,-5,-8.4
01-21 7:22,-6.3,4.1,-5,-8.4
01-21 7:23,-6.3,4,-5,-8.3
01-21 7:24,-6.3,4,-5,-8.3
01-21 7:25,-6.3,4,-5,-8.3
01-21 7:26,-6.3,4,-5,-8.3
01-21 7:27,-6.3,4,-5,-8.3
01-21 7:28,-6.3,4,-5,-8.3
01-21 7:29,-6.3,3.9,-5,-8.3
01-21 7:30,-6.4,3.9,-5,-8.3
01-21 7:31,-6.3,3.8,-5,-8.4
01-21 7:32,-6.3,3.9,-5,-8.4
01-21 7:33,-6.3,3.8,-5,-8.4
01-21 7:34,-6.3,3.8,-5,-8.4
01-21 7:35,-6.3,3.8,-5,-8.4
01-21 7:36,-6.3,3.7,-5,-8.4
01-21 7:37,-6.3,3.7,-5,-8.4
01-21 7:38,-6.3,3.7,-5,-8.4
01-21 7:39,-6.4,3.7,-5,-8.3
01-21 7:40,-6.4,3.6,-5,-8.3
01-21 7:41,-6.4,3.6,-5,-8.3
01-21 7:42,-6.4,3.5,-5,-8.2
01-21 7:43,-6.4,3.6,-5,-8.2
01-21 7:44,-6.3,3.5,-5,-8.2
01-21 7:45,-6.4,3.4,-5,-8.1
01-21 7:46,-6.3,3.3,-5,-8.1
01-21 7:47,-6.4,3.2,-5,-8.1
01-21 7:48,-6.4,3.1,-5,-8
01-21 7:49,-6.3,3.3,-5,-8
01-21 7:50,-6.3,3.3,-4.9,-7.9
01-21 7:51,-6.3,3.3,-5,-7.9
01-21 7:52,-6.3,3.2,-5,-7.9
01-21 7:53,-6.3,3.2,-4.9,-7.9
01-21 7:54,-6.3,3.2,-4.9,-7.9
01-21 7:55,-6.3,3.2,-4.9,-7.9
01-21 7:56,-6.3,3.3,-4.9,-7.9
01-21 7:57,-6.2,3.4,-4.9,-7.8
01-21 7:58,-6.3,3.5,-4.9,-7.9
01-21 7:59,-6.2,3.7,-4.9,-7.8
01-21 8:00,-6.2,3.7,-4.9,-7.8
01-21 8:01,-6.2,3.7,-4.9,-7.8
01-21 8:02,-6.2,3.8,-4.9,-7.8
01-21 8:03,-6.2,3.9,-4.8,-7.8
01-21 8:04,-6.2,4,-4.8,-7.8
01-21 8:05,-6.2,4,-4.8,-7.8
01-21 8:06,-6.2,4,-4.8,-7.7
01-21 8:07,-6.2,4.1,-4.8,-7.7
01-21 8:08,-6.2,4,-4.8,-7.7
01-21 8:09,-6.2,4,-4.8,-7.7
01-21 8:10,-6.2,4,-4.8,-7.7
01-21 8:11,-6.2,4,-4.8,-7.7
01-21 8:12,-6.2,4,-4.8,-7.7
01-21 8:13,-6.2,4,-4.8,-7.8
01-21 8:14,-6.2,4.1,-4.8,-7.9
01-21 8:15,-6.2,4.2,-4.8,-8
01-21 8:16,-6.2,4.3,-4.8,-8.2
01-21 8:17,-6.2,4.4,-4.8,-8.3
01-21 8:18,-6.2,4.4,-4.8,-8.3
01-21 8:19,-6.2,4.3,-4.8,-8.3
01-21 8:20,-6.2,4.3,-4.8,-8.3
01-21 8:21,-6.1,4.3,-4.8,-8.4
01-21 8:22,-6.1,4.3,-4.8,-8.4
01-21 8:23,-6.1,4.3,-4.8,-8.4
01-21 8:24,-6.1,4.2,-4.8,-8.3
01-21 8:25,-6.1,4.2,-4.8,-8.2
01-21 8:26,-6.1,4.1,-4.8,-8.2
01-21 8:27,-6.1,4.1,-4.8,-8.1
01-21 8:28,-6.1,4.2,-4.7,-8.1
01-21 8:29,-6.2,4.2,-4.8,-8
01-21 8:30,-6.2,4.2,-4.8,-8
01-21 8:31,-6.1,4.2,-4.7,-8
01-21 8:32,-6.1,4.4,-4.7,-7.9
01-21 8:33,-6.1,4.4,-4.7,-7.8
01-21 8:34,-6.1,4.4,-4.7,-7.8
01-21 8:35,-6.1,4.5,-4.7,-8
01-21 8:36,-6.1,4.6,-4.7,-8
01-21 8:37,-6.1,4.6,-4.7,-8.1
01-21 8:38,-6.1,4.6,-4.7,-8.1
01-21 8:39,-6.1,4.6,-4.7,-8.3
01-21 8:40,-6.1,4.7,-4.7,-8.4
01-21 8:41,-6.1,4.7,-4.7,-8.4
01-21 8:42,-6.1,4.7,-4.7,-8.2
01-21 8:43,-6.1,4.6,-4.7,-8.2
01-21 8:44,-6.1,4.6,-4.7,-8.1
01-21 8:45,-6.1,4.4,-4.7,-8
01-21 8:46,-6.1,4.3,-4.7,-7.9
01-21 8:47,-6.1,4.3,-4.7,-7.9
01-21 8:48,-6.1,4.2,-4.7,-7.9
01-21 8:49,-6.1,4.1,-4.7,-8
01-21 8:50,-6.1,4.1,-4.7,-8
01-21 8:51,-6.1,4,-4.7,-7.9
01-21 8:52,-6.1,4,-4.7,-7.8
01-21 8:53,-6.1,4,-4.7,-7.8
01-21 8:54,-6.1,4,-4.7,-7.7
01-21 8:55,-6.1,4,-4.7,-7.7
01-21 8:56,-6,3.9,-4.6,-7.6
01-21 8:57,-6.1,3.9,-4.6,-7.6
01-21 8:58,-6,3.9,-4.6,-7.5
01-21 8:59,-6.1,4,-4.6,-7.5
